gene_symbol,molecule,cell_line,half_life_hours,gamma_per_hour,half_life_rep1_hours,half_life_rep2_hours,replicate_log_ratio,anchor_weight,source
DIS3L2,RNA,K562,1.32851818742531,0.5217445926752993,1.05687609859085,1.60016027625976,0.4147863167500317,0.6604813994390668,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DKC1,RNA,K562,3.96517738201026,0.1748086185764871,4.01496112885732,3.9153936351631895,0.025111796103196127,0.9752008822754237,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLAT,RNA,K562,3.41779319874214,0.20280547717604627,3.30249151430658,3.5330948831777,0.06749703634416648,0.9347304908313945,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLC1,RNA,K562,0.332610230494576,2.0839622988423043,0.3173616059610139,0.347858855028138,0.09175497193186198,0.9123286682908871,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLD,RNA,K562,6.36985308372517,0.10881682378686576,6.92381560046941,5.81589056698092,0.1743730808244019,0.8399834574720079,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLEU1,RNA,K562,1.08497345613779,0.6388609570480742,1.10332688190205,1.06662003037353,0.033835254828139184,0.9667307557437191,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLEU2,RNA,K562,1.32323429625421,0.5238280042484501,1.54498379413179,1.10148479837664,0.3383543347328558,0.7129426228031238,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLG1,RNA,K562,2.55214096742519,0.27159439443474365,2.7126036579625894,2.3916782768878,0.1259136056398374,0.8816910166242887,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLG5,RNA,K562,0.706491379907421,0.9811120139226266,0.751129966910406,0.6618527929044359,0.12653553126458386,0.8811428408678853,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLGAP4,RNA,K562,1.38699604323193,0.4997470497066436,1.41276871899532,1.36122336746854,0.03716757916872437,0.9635146568339678,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLGAP5,RNA,K562,4.46929978122163,0.1550907780839176,3.64071036549017,5.2978891969531,0.37512965854102415,0.6872001716426989,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLK1,RNA,K562,7.24421811640333,0.09568281482171671,7.387929789039939,7.10050644376673,0.03968144730198768,0.9610955499740125,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DLST,RNA,K562,3.00774945054307,0.2304537635057311,2.91848722157206,3.09701167951408,0.059372264989742435,0.9423558977439729,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DMD,RNA,K562,1.63483103077902,0.4239870466794669,1.96961282402523,1.30004923753281,0.41543484863087016,0.6600531950619332,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DMTF1,RNA,K562,0.5242740031485978,1.3221086233480144,0.4848741041948749,0.563673902102321,0.15058661825982614,0.8602032174745923,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DMXL1,RNA,K562,1.33201185973306,0.52037613291135,1.56574250386813,1.09828121559799,0.3546137283410218,0.7014443389540183,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DMXL2,RNA,K562,2.58850695440635,0.2677787592496201,2.63987056796341,2.53714334084929,0.03969110951101046,0.9610862637127807,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNA2,RNA,K562,1.2673370555813,0.5469319921700023,1.3005361873429,1.2341379238197,0.05240394228940806,0.9489454702072865,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAAF5,RNA,K562,2.0099346940588494,0.3448605482600075,2.06985351074688,1.95001587737083,0.059640322234032685,0.9421033262722017,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAH14,RNA,K562,2.42572973724755,0.2857479008961864,2.19115002908568,2.66030944540942,0.19401591545451807,0.8236447954829794,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJA1,RNA,K562,4.87439012180797,0.14220182694421854,5.31544587237985,4.4333343712361,0.1814649170435877,0.8340475056424932,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJA2,RNA,K562,1.36527127879827,0.5076992326170244,1.42298794215781,1.30755461543873,0.08460015856088635,0.918879617107621,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJA3,RNA,K562,2.27038478847518,0.30529942945286903,2.2122208082855,2.32854876866486,0.05124832586984295,0.9500427210523662,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJB1,RNA,K562,0.3613019209361009,1.91847078688113,0.3611472286009819,0.3614566132712189,0.0008563051321186475,0.9991440613924946,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJB12,RNA,K562,0.8179002880179859,0.8474714958710258,0.851127198848019,0.784673377187953,0.0812940360787758,0.9219225730889463,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
DNAJB14,RNA,K562,0.762417682452429,0.9091436315201072,0.7757455813726098,0.7490897835322469,0.034965759831930385,0.9656384793153472,Schofield2018_NatMethods_TimeLapseSeq_SuppTable2
